"","pageTitle","pagePath","pageviews"
"150","Access denied | University of Southern Maine","/eng/stanley-kubrick-james-bond-and-designing-playboy-imaginary-1",1
"151","Access denied | University of Southern Maine","/eng/suzanne-philbrick",1
"152","BA em Inglês | Departamento de Inglês | Universidade do sul de Maine","/eng/ba-english",1
"153","BA in English | Department of English | University of Southern Maine","/eng/ba-english?fbclid=IwAR17mmgwCb1PzOeugt7_I7e4fzL8bplMjBx5kXxbQabF31bDKbDyliqfloI",1
"154","College Writing | Department of English | University of Southern Maine","/eng/college-writing?fbclid=IwAR1D2YurVqlG8cP4u6RlSCSXNVTbDS6Fmg2DgSYoRsit5qti4xr9oGzyazE",1
"155","Elsie de Wolfe's Queer Animacies: Marie-Antoinette and the Modernist Sapphic Interior | Department of English | University of Southern Maine","/eng/elsie-de-wolfes-queer-animacies-marie-antoinette-and-modernist-sapphic-interior?fbclid=IwAR0bZAsGVGt8cLA7AaLC_WiokseHH2GgECK8AOrFyt68NC-NY4FqFSIZlAg",1
"156","Elsie de Wolfe's Queer Animacies: Marie-Antoinette and the Modernist Sapphic Interior | Department of English | University of Southern Maine","/eng/elsie-de-wolfes-queer-animacies-marie-antoinette-and-modernist-sapphic-interior?fbclid=IwAR1-BjeNgiKTvBBH3HkBc8tsfcSZpwgUz1TM9WuNf-oM2aQ7GINcBJzR2uE",1
"157","Elsie de Wolfe's Queer Animacies: Marie-Antoinette and the Modernist Sapphic Interior | Department of English | University of Southern Maine","/eng/elsie-de-wolfes-queer-animacies-marie-antoinette-and-modernist-sapphic-interior?fbclid=IwAR22Q0vJdOjoDa8rfbJ9ZVvsjHkxsuEaCEEz2s79RUHnSss9YB1bQ3-Mc1U",1
"158","Faculty | Department of English | University of Southern Maine2020-02-19-<U+4E9A><U+535A>mg<U+8001><U+864E><U+673A>|<U+4E9A><U+535A>mg<U+8001><U+864E><U+673A>|<U+9996><U+9875>-szjim.com-szjim.com","/eng/faculty",1
"159","Former College Writing Students Give Advice | Department of English | University of Southern Maine","/eng/former-college-writing-students-give-advice?fbclid=IwAR0up-q6-7a_ENseGLi4tSciW9ybvlgjHCFt_3kunyrg1JJcA6VRLP0Ptx0",1
"160","Jessica Ouellette | Department of English | University of Southern Maine","/eng/jessica-ouellette?fbclid=IwAR2xaMyzakBF_aDJJMhrG9hhFacTaeeU6xetxoPHaMp7tW3Oy8gjTwo9PwA",1
"161","Katherine Peters | Department of English | University of Southern Maine","/eng/katherine-peters?fbclid=IwAR0aFD6dH5Mzod1d4q6Pn90RbSCl9m_4aUVc6_C6lRg5gAPDHwXNY6JuNG8",1
"162","Katherine Peters | Department of English | University of Southern Maine2020-02-07-<U+4E9A><U+535A>mg<U+8001><U+864E><U+673A>|<U+4E9A><U+535A>mg<U+8001><U+864E><U+673A>|<U+9996><U+9875>-szjim.com-szjim.com","/eng/katherine-peters",1
"163","Lisa Walker | Department of English | University of Southern Maine","/search?q=cache:-yTITfrDP30J:https://usm.maine.edu/eng/lisa-walker+lisa+walker+usm&safe=strict&client=safari&rls=en&hl=en&ct=clnk",1
"164","Location and Hours | Department of English | University of Southern Maine","/eng/location-and-hours",1
"165","Margaret Reimer | Departamento de ingles | Universidad del sur de Maine","/eng/margaret-reimer",1
"166","Mike Bendzela | Department of English | University of Southern Maine","/eng/mike-bendzela?fbclid=IwAR1DCTe2jZHlhCfhPNwFtmDys5OAGhg_-IkCQowYE6rg9QzXZQbE0krk9qo",1
"167","Mike Bendzela | Department of English | University of Southern Maine","/eng/mike-bendzela?fbclid=IwAR3nba4ewWsxOrpOXuaKfpt4onsPdVGxbI21hHfITYYOSArVovPbD0e-W-U",1
"168","Nicholas Wise | Department of English | University of Southern Maine","/eng/nicholas-wise?fbclid=IwAR3HwzvFM0eHsKj79V1Ei0AkJqp5GlQTWnnGSyL5cr_OeaCnHcqEp7sgT84",1
"169","Overview | Department of English | University of Southern Maine","/eng/overview?fbclid=IwAR2g8KSANq7sSDAX_HUccXOWSLYV5AwvaTV2tEU4lsnxvYPi2TgqZ75bNCE",1
"170","Page Not Found | University of Southern Maine","/eng/bruegcarn.jpe",1
"171","Page Not Found | University of Southern Maine","/eng/bruegel-land-of-cockaigne-big.jpe",1
"172","Page Not Found | University of Southern Maine","/eng/bruegel-land-of-cockaigne-big.jpe?fbclid=IwAR2oofJS8jbtpYCg6WpyobYIE16Jk_ZfrtFa622V9_QJBwAXGY7nfWEVYjM",1
"173","Page Not Found | University of Southern Maine","/eng/bruegel icarus",1
"174","Page Not Found | University of Southern Maine","/eng/fall 2020 course guide.pdf",1
"175","Page Not Found | University of Southern Maine","/eng/grading",1
"176","Page Not Found | University of Southern Maine","/eng/katherine-pepers",1
"177","Page Not Found | University of Southern Maine","/eng/lucinda-cole",1
"178","Page Not Found | University of Southern Maine","/eng/masaccio_trinity2.jpe",1
"179","Page Not Found | University of Southern Maine","/eng/overvi ew",1
"180","Page Not Found | University of Southern Maine","/eng/stonecoastwc.",1
"181","Page Not Found | University of Southern Maine","/eng/what-expect-english",1
"182","Page Not Found | University of Southern Maine","/eng/what-expect-english-100c-college-writing.",1
"183","Page Not Found | University of Southern Maine","/eng/y2vydglmaw",1
"184","Page Not Found | University of Southern Maine","/eng/zw5nbglzac",1
"185","Page Not Found | University of Southern Maine","/sites/default/files/eng/Fall 19 Course Guide_0.pdf",1
"186","Page Not Found | University of Southern Maine","/sites/default/files/eng/Fall 2020 Course Guide-0.pdf",1
"187","Page Not Found | University of Southern Maine","/sites/default/files/eng/Fall 2020 Course Guide -0.pdf",1
"188","Page Not Found | University of Southern Maine","/sites/default/files/eng/Fall 2020 Course Guide 0.pdf",1
"189","Page Not Found | University of Southern Maine","/sites/default/files/eng/spring 2019 Course Guide_0.pdf",1
"190","Page Not Found | University of Southern Maine","/sites/default/files/eng/Spring 2019 Course Guide_0.pdf",1
"191","Page Not Found | University of Southern Maine","/sites/default/files/eng/Spring 2020 Course Guide_0.pdf",1
"192","Professor Gerald Peters publishes book | Department of English | University of Southern Maine","/eng/professor-gerald-peters-publishes-book",1
"193","Search Results | University of Southern Maine","/search/google?query=https://usm.maine.edu/eng/minor-public-and-professional-writing",1
"194","Spring 2016 Course Offerings | Department of English | University of Southern Maine","/eng/spring-2016-course-offerings",1
"195","Studying Slavery in the North: An Investigation | Department of English | University of Southern Maine","/eng/studying-slavery-north-investigation?fbclid=IwAR3FsQaav6x3x98_0_iYy9kHGLg_nW-65PWvu7eDaXRjRvnicwhdffFUVsg",1
